 4 January 2011   4:58:29.709 PM
 
CORDIC_PRB:
  FORTRAN90 version
  Test the CORDIC library.
 
TEST001:
  COSSIN_CORDIC computes the cosine and sine
  using the CORDIC algorithm.
 
          A        N      Cos(A)           Cos(A)           Difference
                          Tabulated        CORDIC
 
        0.3000    15     1.2661037         1.2662245       -0.1208E-03
        0.3000    20     1.2661037         1.2661062       -0.2572E-05
        0.3000    25     1.2661037         1.2661037       -0.6813E-07
 
        0.4000     0     1.1592795         0.0000000        0.1159E+01
        0.4000     5     1.1592795         1.2573308       -0.9805E-01
        0.4000    10     1.1592795         1.1596977       -0.4182E-03
        0.4000    15     1.1592795         1.1593315       -0.5201E-04
        0.4000    20     1.1592795         1.1592819       -0.2421E-05
        0.4000    25     1.1592795         1.1592794        0.8237E-07
 
        0.5000     0     1.0471976         0.0000000        0.1047E+01
        0.5000     5     1.0471976         1.0095861        0.3761E-01
        0.5000    10     1.0471976         1.0447243        0.2473E-02
        0.5000    15     1.0471976         1.0472877       -0.9018E-04
        0.5000    20     1.0471976         1.0472000       -0.2439E-05
        0.5000    25     1.0471976         1.0471975        0.6437E-07
 
        0.6000     0    0.92729522         0.0000000        0.9273E+00
        0.6000     5    0.92729522         1.0095861       -0.8229E-01
        0.6000    10    0.92729522        0.92757741       -0.2822E-03
        0.6000    15    0.92729522        0.92721120        0.8402E-04
        0.6000    20    0.92729522        0.92729894       -0.3718E-05
        0.6000    25    0.92729522        0.92729524       -0.2288E-07
 
        0.7000     0    0.79539883         0.0000000        0.7954E+00
        0.7000     5    0.79539883        0.75991083        0.3549E-01
        0.7000    10    0.79539883        0.79504901        0.3498E-03
        0.7000    15    0.79539883        0.79541522       -0.1639E-04
        0.7000    20    0.79539883        0.79539615        0.2681E-05
        0.7000    25    0.79539883        0.79539889       -0.6095E-07
 
        0.8000     0    0.64350111         0.0000000        0.6435E+00
        0.8000     5    0.64350111        0.75991083       -0.1164E+00
        0.8000    10    0.64350111        0.64665280       -0.3152E-02
        0.8000    15    0.64350111        0.64360105       -0.9994E-04
        0.8000    20    0.64350111        0.64349805        0.3058E-05
        0.8000    25    0.64350111        0.64350103        0.7798E-07
 
        0.9000     0    0.45102681         0.0000000        0.4510E+00
        0.9000     5    0.45102681        0.52709139       -0.7606E-01
        0.9000    10    0.45102681        0.45289516       -0.1868E-02
        0.9000    15    0.45102681        0.45106411       -0.3730E-04
        0.9000    20    0.45102681        0.45102978       -0.2967E-05
        0.9000    25    0.45102681        0.45102680        0.1356E-07
 
        1.0000     0     0.0000000         0.0000000        0.0000E+00
        1.0000     5     0.0000000        0.29671413E-01   -0.2967E-01
        1.0000    10     0.0000000        0.23451806E-02   -0.2345E-02
        1.0000    15     0.0000000        0.25845392E-04   -0.2585E-04
        1.0000    20     0.0000000       -0.85748894E-06    0.8575E-06
        1.0000    25     0.0000000       -0.23023911E-07    0.2302E-07
 
TEST005:
