January 11 2011   8:08:31.210 AM
 
TOMS757_PRB:
  FORTRAN90 version
  Test the TOMS757 library.
 
TEST01
  Testing function ABRAM0
 
     Argument             Abs. error             Rel. error
    16.0000000000      0.00000D+00            0.00000D+00
   -16.5000000000      0.00000D+00            0.00000D+00
    18.0000000000      0.00000D+00            0.00000D+00
   -20.0000000000      0.22204D-15            0.20980D-15
    25.0000000000      0.00000D+00            0.00000D+00
   -30.0000000000      0.00000D+00            0.00000D+00
    40.0000000000      0.00000D+00            0.00000D+00
   -50.0000000000      0.22204D-15            0.24633D-15
    75.0000000000      0.22204D-15            0.24283D-15
   -80.0000000000      0.22204D-15            0.23501D-15
   100.0000000000      0.00000D+00            0.00000D+00
 
TEST11
  Testing function BESSEL_K0_INT
 
     Argument             Abs. error             Rel. error
 
     0.0009765625      0.34694D-17            0.44147D-15
     0.0039062500      0.00000D+00            0.00000D+00
     0.0625000000      0.83267D-16            0.34249D-15
     0.1250000000      0.27756D-15            0.69390D-15
     0.5000000000      0.55511D-15            0.59876D-15
     1.0000000000      0.19984D-14            0.16084D-14
     2.0000000000      0.88818D-15            0.60270D-15
     4.0000000000      0.24425D-14            0.15650D-14
     5.0000000000      0.82157D-14            0.52416D-14
     6.0000000000      0.22204D-15            0.14146D-15
     6.5000000000      0.00000D+00            0.00000D+00
     8.0000000000      0.22204D-15            0.14137D-15
    10.0000000000      0.22204D-15            0.14136D-15
    12.0000000000      0.00000D+00            0.00000D+00
    15.0000000000      0.22204D-15            0.14136D-15
    20.0000000000      0.00000D+00            0.00000D+00
    30.0000000000      0.22204D-15            0.14136D-15
    50.0000000000      0.00000D+00            0.00000D+00
    80.0000000000      0.00000D+00            0.00000D+00
   100.0000000000      0.00000D+00            0.00000D+00
 
TEST12
  Testing function BESSEL_Y0_INT
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.00000D+00            0.00000D+00
     0.0078125000      0.34694D-17            0.11689D-15
     0.1250000000      0.00000D+00            0.00000D+00
     0.5000000000      0.11102D-15            0.19762D-15
     1.0000000000      0.11102D-15            0.17427D-15
     2.0000000000      0.55511D-16            0.19671D-15
     4.0000000000      0.55511D-16            0.14468D-15
     6.0000000000      0.24980D-15            0.19833D-14
    10.0000000000      0.61062D-15            0.25307D-14
    16.0000000000      0.41633D-15            0.24293D-14
    16.2500000000      0.55511D-16            0.29281D-15
    17.0000000000      0.83267D-16            0.48400D-15
    20.0000000000      0.55511D-16            0.33000D-15
    25.0000000000      0.11102D-15            0.11860D-14
    30.0000000000      0.97145D-16            0.11010D-14
    40.0000000000      0.33827D-15            0.37870D-13
    50.0000000000      0.26368D-15            0.48104D-14
    70.0000000000      0.13878D-16            0.14615D-15
   100.0000000000      0.21511D-15            0.10976D-13
   125.0000000000      0.19082D-15            0.22967D-13
 
TEST13
  Testing function CLAUSEN
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.00000D+00            0.00000D+00
     0.0312500000      0.00000D+00            0.00000D+00
    -0.1250000000      0.00000D+00            0.00000D+00
     0.5000000000      0.11102D-15            0.13087D-15
     1.0000000000      0.00000D+00            0.00000D+00
    -1.5000000000      0.11102D-15            0.11821D-15
     2.0000000000      0.22204D-15            0.30536D-15
     2.5000000000      0.00000D+00            0.00000D+00
    -3.0000000000      0.73552D-15            0.75033D-14
     4.0000000000      0.33307D-15            0.58624D-15
     4.2500000000      0.22204D-15            0.31287D-15
    -5.0000000000      0.33307D-15            0.33548D-15
     5.5000000000      0.22204D-15            0.22628D-15
     6.0000000000      0.11102D-15            0.17326D-15
     8.0000000000      0.22204D-15            0.25811D-15
   -10.0000000000      0.27756D-15            0.71038D-15
    15.0000000000      0.33307D-15            0.70009D-15
    20.0000000000      0.44409D-15            0.43947D-15
   -30.0000000000      0.00000D+00            0.00000D+00
    50.0000000000      0.00000D+00            0.00000D+00
 
TEST14
  Testing function DEBYE1
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.00000D+00            0.00000D+00
     0.0312500000      0.00000D+00            0.00000D+00
     0.1250000000      0.22204D-15            0.22910D-15
     0.5000000000      0.22204D-15            0.25177D-15
     1.0000000000      0.00000D+00            0.00000D+00
     1.5000000000      0.22204D-15            0.32361D-15
     2.0000000000      0.00000D+00            0.00000D+00
     2.5000000000      0.22204D-15            0.41212D-15
     3.0000000000      0.55511D-16            0.11554D-15
     4.0000000000      0.55511D-16            0.14302D-15
     4.2500000000      0.00000D+00            0.00000D+00
     5.0000000000      0.55511D-16            0.17300D-15
     5.5000000000      0.00000D+00            0.00000D+00
     6.0000000000      0.00000D+00            0.00000D+00
     8.0000000000      0.00000D+00            0.00000D+00
    10.0000000000      0.27756D-16            0.16878D-15
    15.0000000000      0.00000D+00            0.00000D+00
    20.0000000000      0.13878D-16            0.16873D-15
    30.0000000000      0.00000D+00            0.00000D+00
    50.0000000000      0.69389D-17            0.21092D-15
 
TEST15
  Testing function DEBYE2
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.22204D-15            0.22219D-15
     0.0312500000      0.11102D-15            0.11219D-15
     0.1250000000      0.11102D-15            0.11577D-15
     0.5000000000      0.00000D+00            0.00000D+00
     1.0000000000      0.11102D-15            0.15684D-15
     1.5000000000      0.22204D-15            0.37539D-15
     2.0000000000      0.55511D-16            0.11258D-15
     2.5000000000      0.11102D-15            0.27026D-15
     3.0000000000      0.22204D-15            0.64809D-15
     4.0000000000      0.55511D-16            0.23076D-15
     4.2500000000      0.00000D+00            0.00000D+00
     5.0000000000      0.00000D+00            0.00000D+00
     5.5000000000      0.00000D+00            0.00000D+00
     6.0000000000      0.27756D-16            0.21912D-15
     8.0000000000      0.00000D+00            0.00000D+00
    10.0000000000      0.00000D+00            0.00000D+00
    15.0000000000      0.00000D+00            0.00000D+00
    20.0000000000      0.00000D+00            0.00000D+00
    30.0000000000      0.00000D+00            0.00000D+00
    50.0000000000      0.00000D+00            0.00000D+00
 
TEST16
  Testing function DEBYE3
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.22204D-15            0.22221D-15
     0.0312500000      0.11102D-15            0.11233D-15
     0.1250000000      0.00000D+00            0.00000D+00
     0.5000000000      0.22204D-15            0.26916D-15
     1.0000000000      0.00000D+00            0.00000D+00
     1.5000000000      0.22204D-15            0.40585D-15
     2.0000000000      0.00000D+00            0.00000D+00
     2.5000000000      0.55511D-16            0.15675D-15
     3.0000000000      0.55511D-16            0.19575D-15
     4.0000000000      0.55511D-16            0.30545D-15
     4.2500000000      0.00000D+00            0.00000D+00
     5.0000000000      0.27756D-16            0.23602D-15
     5.5000000000      0.00000D+00            0.00000D+00
     6.0000000000      0.13878D-16            0.17888D-15
     8.0000000000      0.69389D-17            0.18979D-15
    10.0000000000      0.34694D-17            0.17980D-15
    15.0000000000      0.00000D+00            0.00000D+00
    20.0000000000      0.43368D-18            0.17809D-15
    30.0000000000      0.00000D+00            0.00000D+00
    50.0000000000      0.27105D-19            0.17391D-15
 
TEST17
  Testing function DEBYE4
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.22204D-15            0.22222D-15
     0.0312500000      0.11102D-15            0.11242D-15
     0.1250000000      0.11102D-15            0.11676D-15
     0.5000000000      0.11102D-15            0.13642D-15
     1.0000000000      0.11102D-15            0.16953D-15
     1.5000000000      0.00000D+00            0.00000D+00
     2.0000000000      0.22204D-15            0.53908D-15
     2.5000000000      0.11102D-15            0.34377D-15
     3.0000000000      0.11102D-15            0.44078D-15
     4.0000000000      0.16653D-15            0.10967D-14
     4.2500000000      0.27756D-16            0.20755D-15
     5.0000000000      0.00000D+00            0.00000D+00
     5.5000000000      0.13878D-16            0.19484D-15
     6.0000000000      0.69389D-17            0.12463D-15
     8.0000000000      0.34694D-17            0.15793D-15
    10.0000000000      0.17347D-17            0.17932D-15
    15.0000000000      0.00000D+00            0.00000D+00
    20.0000000000      0.00000D+00            0.00000D+00
    30.0000000000      0.00000D+00            0.00000D+00
    50.0000000000      0.00000D+00            0.00000D+00
 
TEST18
  Testing function EXP3_INT
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.21684D-18            0.11102D-15
     0.0078125000      0.86736D-18            0.11102D-15
     0.0312500000      0.00000D+00            0.00000D+00
     0.1250000000      0.13878D-16            0.11108D-15
     0.5000000000      0.11102D-15            0.22895D-15
     1.0000000000      0.00000D+00            0.00000D+00
     1.2500000000      0.22204D-15            0.25555D-15
     1.5000000000      0.11102D-15            0.12494D-15
     1.8750000000      0.00000D+00            0.00000D+00
     2.0000000000      0.00000D+00            0.00000D+00
     2.1250000000      0.11102D-15            0.12433D-15
     2.2500000000      0.00000D+00            0.00000D+00
     2.5000000000      0.00000D+00            0.00000D+00
     2.7500000000      0.00000D+00            0.00000D+00
     3.0000000000      0.11102D-15            0.12433D-15
     3.1250000000      0.00000D+00            0.00000D+00
     3.2500000000      0.11102D-15            0.12433D-15
     3.5000000000      0.00000D+00            0.00000D+00
     3.7500000000      0.00000D+00            0.00000D+00
     4.0000000000      0.00000D+00            0.00000D+00
 
TEST19
  Testing function GOODWIN
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.00000D+00            0.00000D+00
     0.0078125000      0.00000D+00            0.00000D+00
     0.0312500000      0.00000D+00            0.00000D+00
     0.1250000000      0.22204D-15            0.11245D-15
     0.5000000000      0.00000D+00            0.00000D+00
     1.0000000000      0.11102D-15            0.18347D-15
     1.2500000000      0.00000D+00            0.00000D+00
     1.5000000000      0.55511D-16            0.12447D-15
     1.8750000000      0.55511D-16            0.14865D-15
     2.0000000000      0.55511D-16            0.15666D-15
     2.1250000000      0.00000D+00            0.00000D+00
     2.5000000000      0.11102D-15            0.37716D-15
     3.0000000000      0.55511D-16            0.22034D-15
     3.5000000000      0.00000D+00            0.00000D+00
     4.0000000000      0.27756D-16            0.14179D-15
     4.5000000000      0.27756D-16            0.15756D-15
     5.0000000000      0.27756D-16            0.17330D-15
     5.7500000000      0.27756D-16            0.19690D-15
     6.0000000000      0.00000D+00            0.00000D+00
     7.0000000000      0.27756D-16            0.23619D-15
 
TEST20
  Testing function I0ML0
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.00000D+00            0.00000D+00
