 
FEM2D_LEASTSQUARES
  FORTRAN90 version
 
  Seek U(x,y), the solution of the least squares equation:
 
  Minimize L2 norm of U(x,y) - W(x,y), for W(x,y) given,
  with U(x,y) a piecewise linear function in the interior,
  and matching W(x,y) on the boundary.
 
  Reformulate this in terms of a finite element problem:
 
  ( U(x,y) - W(x,y), V(x,y) ) = 0 inside the region,
    U(x,y)                    = W(x,y) on the boundary
 
  The region is a rectangle, defined by:
 
   0.00000     = XL<= X <= XR =    1.00000    
   0.00000     = YB<= Y <= YT =    1.00000    
 
  The finite element method is used, with piecewise
  linear basis functions on 3 node triangular
  elements.
 
  The corner nodes of the triangles are generated by an
  underlying grid whose dimensions are
 
  NX =                             17
  NY =                             17
  Number of nodes =               289
  Number of elements =            512
 
     K     I     J          X           Y        U(x,y)           W(x,y)
   128     9     8        0.50        0.44     1.48710         1.48079    
   129    10     8        0.56        0.44     1.53051         1.52444    
   130    11     8        0.63        0.44     1.53672         1.53113    
   131    12     8        0.69        0.44     1.50789         1.50299    
   132    13     8        0.75        0.44     1.44755         1.44352    
   133    14     8        0.81        0.44     1.36035         1.35740    
   134    15     8        0.88        0.44     1.25225         1.25033    
   135    16     8        0.94        0.44     1.12921         1.12884    
   136    17     8        1.00        0.44     1.00000         1.00000    
 
   137     1     9        0.00        0.50     0.00000         0.00000    
   138     2     9        0.06        0.50    0.258762        0.257590    
   139     3     9        0.13        0.50    0.510192        0.507683    
   140     4     9        0.19        0.50    0.746629        0.743070    
   141     5     9        0.25        0.50    0.961666        0.957107    
   142     6     9        0.31        0.50     1.14932         1.14397    
   143     7     9        0.38        0.50     1.30483         1.29888    
   144     8     9        0.44        0.50     1.42460         1.41829    
   145     9     9        0.50        0.50     1.50644         1.50000    
   146    10     9        0.56        0.50     1.54960         1.54329    
   147    11     9        0.63        0.50     1.55483         1.54888    
   148    12     9        0.69        0.50     1.52432         1.51897    
   149    13     9        0.75        0.50     1.46167         1.45711    
   150    14     9        0.81        0.50     1.37163         1.36807    
   151    15     9        0.88        0.50     1.26019         1.25768    
   152    16     9        0.94        0.50     1.13376         1.13259    
   153    17     9        1.00        0.50     1.00000         1.00000    
 
   154     1    10        0.00        0.56     0.00000         0.00000    
   155     2    10        0.06        0.56    0.254206        0.253842    
   156     3    10        0.13        0.56    0.502254        0.500330    
   157     4    10        0.19        0.56    0.735351        0.732395    
   158     5    10        0.25        0.56    0.947549        0.943520    
   159     6    10        0.31        0.56     1.13289         1.12799    
   160     7    10        0.38        0.56     1.28672         1.28113    
   161     8    10        0.44        0.56     1.40551         1.39944    
   162     9    10        0.50        0.56     1.48710         1.48079    
   163    10    10        0.56        0.56     1.53076         1.52444    
   164    11    10        0.63        0.56     1.53720         1.53113    
   165    12    10        0.69        0.56     1.50859         1.50299    
   166    13    10        0.75        0.56     1.44843         1.44352    
   167    14    10        0.81        0.56     1.36142         1.35740    
   168    15    10        0.88        0.56     1.25333         1.25033    
   169    16    10        0.94        0.56     1.13078         1.12884    
   170    17    10        1.00        0.56     1.00000         1.00000    
 
   171     1    11        0.00        0.63     0.00000         0.00000    
   172     2    11        0.06        0.63    0.242284        0.242740    
   173     3    11        0.13        0.63    0.479819        0.478553    
   174     4    11        0.19        0.63    0.703020        0.700780    
   175     5    11        0.25        0.63    0.906628        0.903281    
   176     6    11        0.31        0.63     1.08494         1.08068    
   177     7    11        0.38        0.63     1.23358         1.22855    
   178     8    11        0.44        0.63     1.34922         1.34363    
   179     9    11        0.50        0.63     1.42983         1.42388    
   180    10    11        0.56        0.63     1.47470         1.46863    
   181    11    11        0.63        0.63     1.48452         1.47855    
   182    12    11        0.69        0.63     1.46131         1.45568    
   183    13    11        0.75        0.63     1.40836         1.40328    
   184    14    11        0.81        0.63     1.33012         1.32578    
   185    15    11        0.88        0.63     1.23192         1.22855    
   186    16    11        0.94        0.63     1.12036         1.11774    
   187    17    11        1.00        0.63     1.00000         1.00000    
 
   188     1    12        0.00        0.69     0.00000         0.00000    
   189     2    12        0.06        0.69    0.223452        0.224712    
   190     3    12        0.13        0.69    0.443747        0.443190    
   191     4    12        0.19        0.69    0.650874        0.649440    
   192     5    12        0.25        0.69    0.840466        0.837938    
   193     6    12        0.31        0.69     1.00729         1.00384    
   194     7    12        0.38        0.69     1.14744         1.14318    
   195     8    12        0.44        0.69     1.25789         1.25299    
   196     9    12        0.50        0.69     1.33682         1.33147    
   197    10    12        0.56        0.69     1.38359         1.37799    
   198    11    12        0.63        0.69     1.39881         1.39318    
   199    12    12        0.69        0.69     1.38429         1.37884    
   200    13    12        0.75        0.69     1.34299         1.33794    
   201    14    12        0.81        0.69     1.27892         1.27444    
   202    15    12        0.88        0.69     1.19681         1.19319    
   203    16    12        0.94        0.69     1.10292         1.09971    
   204    17    12        1.00        0.69     1.00000         1.00000    
 
   205     1    13        0.00        0.75     0.00000         0.00000    
   206     2    13        0.06        0.75    0.198435        0.200450    
   207     3    13        0.13        0.75    0.395433        0.395598    
   208     4    13        0.19        0.75    0.580942        0.580347    
   209     5    13        0.25        0.75    0.751640        0.750000    
   210     6    13        0.31        0.75    0.902966        0.900438    
   211     7    13        0.38        0.75     1.03163         1.02828    
   212     8    13        0.44        0.75     1.13505         1.13102    
   213     9    13        0.50        0.75     1.21167         1.20711    
   214    10    13        0.56        0.75     1.26093         1.25602    
   215    11    13        0.63        0.75     1.28336         1.27828    
   216    12    13        0.69        0.75     1.28049         1.27544    
   217    13    13        0.75        0.75     1.25482         1.25000    
   218    14    13        0.81        0.75     1.20979         1.20535    
   219    15    13        0.88        0.75     1.14931         1.14560    
   220    16    13        0.94        0.75     1.07910         1.07545    
   221    17    13        1.00        0.75     1.00000         1.00000    
 
   222     1    14        0.00        0.81     0.00000         0.00000    
   223     2    14        0.06        0.81    0.168190        0.170886    
   224     3    14        0.13        0.81    0.336675        0.337608    
   225     4    14        0.19        0.81    0.495792        0.496158    
   226     5    14        0.25        0.81    0.643442        0.642847    
   227     6    14        0.31        0.81    0.775874        0.774440    
   228     7    14        0.38        0.81    0.890520        0.888280    
   229     8    14        0.44        0.81    0.985351        0.982395    
   230     9    14        0.50        0.81     1.05913         1.05557    
   231    10    14        0.56        0.81     1.11142         1.10740    
   232    11    14        0.63        0.81     1.14262         1.13828    
   233    12    14        0.69        0.81     1.15392         1.14944    
   234    13    14        0.75        0.81     1.14729         1.14285    
   235    14    14        0.81        0.81     1.12545         1.12116    
   236    15    14        0.88        0.81     1.09133         1.08761    
   237    16    14        0.94        0.81     1.04995         1.04589    
   238    17    14        1.00        0.81     1.00000         1.00000    
 
   239     1    15        0.00        0.88     0.00000         0.00000    
   240     2    15        0.06        0.88    0.133953        0.137158    
   241     3    15        0.13        0.88    0.270092        0.271447    
   242     4    15        0.19        0.88    0.399175        0.400108    
   243     5    15        0.25        0.88    0.520433        0.520598    
