 
FEM2D_POISSON_LINEAR
  FORTRAN90 version
 
  Solution of the Poisson equation:
 
  - Uxx - Uyy = F(x,y) inside the region,
       U(x,y) = G(x,y) on the boundary of the region.
 
  The region is a rectangle, defined by:
 
   0.00000     = XL<= X <= XR =    1.00000    
   0.00000     = YB<= Y <= YT =    1.00000    
 
  The finite element method is used, with piecewise
  linear basis functions on 3 node triangular
  elements.
 
  The corner nodes of the triangles are generated by an
  underlying grid whose dimensions are
 
  NX =                             17
  NY =                             17
  Number of nodes =               289
  Number of elements =            512
 
     K     I     J          X           Y        U               U               Error
                                                 exact           computed 
 
   153    17     9        1.00        0.50     1.00000         1.00000         0.00000    
 
   154     1    10        0.00        0.56     0.00000         0.00000         0.00000    
   155     2    10        0.06        0.56    0.253842        0.253322        0.519706E-03
   156     3    10        0.13        0.56    0.500330        0.499274        0.105626E-02
   157     4    10        0.19        0.56    0.732395        0.730816        0.157957E-02
   158     5    10        0.25        0.56    0.943520        0.941458        0.206194E-02
   159     6    10        0.31        0.56     1.12799         1.12551        0.247887E-02
   160     7    10        0.38        0.56     1.28113         1.27832        0.280974E-02
   161     8    10        0.44        0.56     1.39944         1.39640        0.303821E-02
   162     9    10        0.50        0.56     1.48079         1.47763        0.315255E-02
   163    10    10        0.56        0.56     1.52444         1.52129        0.314575E-02
   164    11    10        0.63        0.56     1.53113         1.52811        0.301542E-02
   165    12    10        0.69        0.56     1.50299         1.50023        0.276363E-02
   166    13    10        0.75        0.56     1.44352         1.44112        0.239644E-02
   167    14    10        0.81        0.56     1.35740         1.35547        0.192335E-02
   168    15    10        0.88        0.56     1.25033         1.24897        0.135660E-02
   169    16    10        0.94        0.56     1.12884         1.12813        0.710359E-03
   170    17    10        1.00        0.56     1.00000         1.00000         0.00000    
 
   171     1    11        0.00        0.63     0.00000         0.00000         0.00000    
   172     2    11        0.06        0.63    0.242740        0.242344        0.395463E-03
   173     3    11        0.13        0.63    0.478553        0.477706        0.847460E-03
   174     4    11        0.19        0.63    0.700780        0.699460        0.131976E-02
   175     5    11        0.25        0.63    0.903281        0.901502        0.177920E-02
   176     6    11        0.31        0.63     1.08068         1.07848        0.219651E-02
   177     7    11        0.38        0.63     1.22855         1.22601        0.254680E-02
   178     8    11        0.44        0.63     1.34363         1.34082        0.280974E-02
   179     9    11        0.50        0.63     1.42388         1.42091        0.296964E-02
   180    10    11        0.56        0.63     1.46863         1.46561        0.301542E-02
   181    11    11        0.63        0.63     1.47855         1.47561        0.294037E-02
   182    12    11        0.69        0.63     1.45568         1.45294        0.274181E-02
   183    13    11        0.75        0.63     1.40328         1.40086        0.242050E-02
   184    14    11        0.81        0.63     1.32578         1.32380        0.197993E-02
   185    15    11        0.88        0.63     1.22855         1.22713        0.142540E-02
   186    16    11        0.94        0.63     1.11774         1.11698        0.763232E-03
   187    17    11        1.00        0.63     1.00000         1.00000         0.00000    
 
   188     1    12        0.00        0.69     0.00000         0.00000         0.00000    
   189     2    12        0.06        0.69    0.224712        0.224449        0.262838E-03
   190     3    12        0.13        0.69    0.443190        0.442571        0.618319E-03
   191     4    12        0.19        0.69    0.649440        0.648415        0.102457E-02
   192     5    12        0.25        0.69    0.837938        0.836494        0.144400E-02
   193     6    12        0.31        0.69     1.00384         1.00200        0.184390E-02
   194     7    12        0.38        0.69     1.14318         1.14098        0.219651E-02
   195     8    12        0.44        0.69     1.25299         1.25051        0.247887E-02
   196     9    12        0.50        0.69     1.33147         1.32880        0.267260E-02
   197    10    12        0.56        0.69     1.37799         1.37523        0.276363E-02
   198    11    12        0.63        0.69     1.39318         1.39044        0.274181E-02
   199    12    12        0.69        0.69     1.37884         1.37624        0.260048E-02
   200    13    12        0.75        0.69     1.33794         1.33560        0.233563E-02
   201    14    12        0.81        0.69     1.27444         1.27249        0.194507E-02
   202    15    12        0.88        0.69     1.19319         1.19176        0.142720E-02
   203    16    12        0.94        0.69     1.09971         1.09893        0.779960E-03
   204    17    12        1.00        0.69     1.00000         1.00000         0.00000    
 
   205     1    13        0.00        0.75     0.00000         0.00000         0.00000    
   206     2    13        0.06        0.75    0.200450        0.200318        0.132048E-03
   207     3    13        0.13        0.75    0.395598        0.395212        0.386542E-03
   208     4    13        0.19        0.75    0.580347        0.579631        0.716148E-03
   209     5    13        0.25        0.75    0.750000        0.748920        0.108009E-02
   210     6    13        0.31        0.75    0.900438        0.898994        0.144400E-02
   211     7    13        0.38        0.75     1.02828         1.02650        0.177920E-02
   212     8    13        0.44        0.75     1.13102         1.12896        0.206194E-02
   213     9    13        0.50        0.75     1.20711         1.20483        0.227286E-02
   214    10    13        0.56        0.75     1.25602         1.25362        0.239644E-02
   215    11    13        0.63        0.75     1.27828         1.27586        0.242050E-02
   216    12    13        0.69        0.75     1.27544         1.27310        0.233563E-02
   217    13    13        0.75        0.75     1.25000         1.24787        0.213422E-02
   218    14    13        0.81        0.75     1.20535         1.20354        0.180932E-02
   219    15    13        0.88        0.75     1.14560         1.14425        0.135303E-02
   220    16    13        0.94        0.75     1.07545         1.07469        0.754779E-03
   221    17    13        1.00        0.75     1.00000         1.00000         0.00000    
 
   222     1    14        0.00        0.81     0.00000         0.00000         0.00000    
   223     2    14        0.06        0.81    0.170886        0.170870        0.159809E-04
   224     3    14        0.13        0.81    0.337608        0.337433        0.174117E-03
   225     4    14        0.19        0.81    0.496158        0.495737        0.421518E-03
   226     5    14        0.25        0.81    0.642847        0.642131        0.716148E-03
   227     6    14        0.31        0.81    0.774440        0.773415        0.102457E-02
   228     7    14        0.38        0.81    0.888280        0.886960        0.131976E-02
   229     8    14        0.44        0.81    0.982395        0.980816        0.157957E-02
   230     9    14        0.50        0.81     1.05557         1.05378        0.178578E-02
   231    10    14        0.56        0.81     1.10740         1.10547        0.192335E-02
   232    11    14        0.63        0.81     1.13828         1.13630        0.197993E-02
   233    12    14        0.69        0.81     1.14944         1.14749        0.194507E-02
   234    13    14        0.75        0.81     1.14285         1.14104        0.180932E-02
   235    14    14        0.81        0.81     1.12116         1.11960        0.156273E-02
   236    15    14        0.88        0.81     1.08761         1.08641        0.119266E-02
   237    16    14        0.94        0.81     1.04589         1.04521        0.680795E-03
   238    17    14        1.00        0.81     1.00000         1.00000         0.00000    
 
   239     1    15        0.00        0.88     0.00000         0.00000         0.00000    
   240     2    15        0.06        0.88    0.137158        0.137225        0.676484E-04
