31 May 2012   3:22:19.255 PM
 
FEYNMAN_KAC_3D:
  FORTRAN90 version.
 
  Program parameters:
 
  The calculation takes place inside a 3D ellipsoid.
  A rectangular grid of points will be defined.
  The solution will be estimated for those grid points
  that lie inside the ellipsoid.
 
  Each solution will be estimated by computing    10000 trajectories
  from the point to the boundary.
 
    (X/A)^2 + (Y/B)^2 + (Z/C)^2 = 1
 
  The ellipsoid parameters A, B, C are set to:
 
    A =    3.00000    
    B =    2.00000    
    C =    1.00000    
  Stepsize H =   0.100000E-02
 
  X coordinate marked by   31 points
  Y coordinate marked by   21 points
  Z coordinate marked by   11 points
 
     X            Y             Z          W Approx      W Exact          Error      Ave Steps
    -2.800        0.4000       -0.6000         1.000         1.000         0.000             0
    -2.800        0.4000       -0.4000         1.000         1.000         0.000             0
    -2.800        0.4000       -0.2000        0.9368        0.9523        0.1553E-01        48
    -2.800        0.4000         0.000        0.9002        0.9149        0.1479E-01        77
    -2.800        0.4000        0.2000        0.9376        0.9523        0.1471E-01        47
    -2.800        0.4000        0.4000         1.000         1.000         0.000             0
    -2.800        0.4000        0.6000         1.000         1.000         0.000             0
    -2.800        0.4000        0.8000         1.000         1.000         0.000             0
    -2.800        0.4000         1.000         1.000         1.000         0.000             0
    -2.800        0.6000        -1.000         1.000         1.000         0.000             0
    -2.800        0.6000       -0.8000         1.000         1.000         0.000             0
    -2.800        0.6000       -0.6000         1.000         1.000         0.000             0
    -2.800        0.6000       -0.4000         1.000         1.000         0.000             0
    -2.800        0.6000       -0.2000         1.000         1.000         0.000             0
    -2.800        0.6000         0.000        0.9460        0.9619        0.1588E-01        40
    -2.800        0.6000        0.2000         1.000         1.000         0.000             0
    -2.800        0.6000        0.4000         1.000         1.000         0.000             0
    -2.800        0.6000        0.6000         1.000         1.000         0.000             0
    -2.800        0.6000        0.8000         1.000         1.000         0.000             0
    -2.800        0.6000         1.000         1.000         1.000         0.000             0
    -2.800        0.8000        -1.000         1.000         1.000         0.000             0
    -2.800        0.8000       -0.8000         1.000         1.000         0.000             0
    -2.800        0.8000       -0.6000         1.000         1.000         0.000             0
    -2.800        0.8000       -0.4000         1.000         1.000         0.000             0
    -2.800        0.8000       -0.2000         1.000         1.000         0.000             0
    -2.800        0.8000         0.000         1.000         1.000         0.000             0
